User ID,204223627,,,,,,,,,,,,,,
As of date,"Nov. 10, 2025, 7:24:06 p.m. NST",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note,Cells marked with a red triangle provide additional information.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Allocation date,Plan,Instrument type,Instrument,Contribution type,Strike price / Cost basis,Market price,CRA average cost basis,CRA book value,Available from,Expiry date,Allocated quantity,Outstanding quantity,Available quantity,Estimated current outstanding value,Estimated current available value
2025-06-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,19.34154,16.52,,,2025-06-17,2999-12-31 23:59:59,0.06363,0.06363,0.06363,1.05,1.05
2025-07-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,19.27543,16.52,,,2025-07-17,2999-12-31 23:59:59,0.06404,0.06404,0.06404,1.05,1.05
2025-08-19,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,17.66,16.52,,,2025-08-19,2999-12-31 23:59:59,0.07012,0.07012,0.07012,1.15,1.15
2025-09-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,18.23355,16.52,,,2025-09-17,2999-12-31 23:59:59,0.06814,0.06814,0.06814,1.12,1.12
2025-10-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,17.45576,16.52,,,2025-10-17,2999-12-31 23:59:59,0.07141,0.07141,0.07141,1.17,1.17
2024-12-09,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,17.9462,16.52,,,2024-12-09,2999-12-31 23:59:59,4.99827,4.99827,4.99827,82.57,82.57
2024-12-27,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,17.0704,16.52,,,2024-12-27,2999-12-31 23:59:59,5.25471,5.25471,5.25471,86.8,86.8
2025-01-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,16.85,16.52,,,2025-01-17,2999-12-31 23:59:59,0.0365,0.0365,0.0365,0.6,0.6
2025-01-23,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,16.5687,16.52,,,2025-01-23,2999-12-31 23:59:59,5.41382,5.41382,5.41382,89.43,89.43
2025-02-07,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,16.4376,16.52,,,2025-02-07,2999-12-31 23:59:59,5.457,5.457,5.457,90.14,90.14
2025-02-12,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,16.65,16.52,,,2025-02-12,2999-12-31 23:59:59,5.38739,5.38739,5.38739,88.99,88.99
2025-02-20,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,16.19828,16.52,,,2025-02-20,2999-12-31 23:59:59,0.05816,0.05816,0.05816,0.96,0.96
2025-02-25,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,16.4554,16.52,,,2025-02-25,2999-12-31 23:59:59,5.4511,5.4511,5.4511,90.05,90.05
2025-03-06,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,16.6992,16.52,,,2025-03-06,2999-12-31 23:59:59,65.25462,65.25462,65.25462,1078,1078
2025-03-18,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,17.12,16.52,,,2025-03-18,2999-12-31 23:59:59,5.23949,5.23949,5.23949,86.55,86.55
2025-03-19,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,17.32268,16.52,,,2025-03-19,2999-12-31 23:59:59,0.11103,0.11103,0.11103,1.83,1.83
2025-04-02,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,17.3477,16.52,,,2025-04-02,2999-12-31 23:59:59,5.17071,5.17071,5.17071,85.42,85.42
2025-04-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,16.84656,16.52,,,2025-04-17,2999-12-31 23:59:59,0.36563,0.36563,0.36563,6.04,6.04
2025-04-17,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,16.8,16.52,,,2025-04-17,2999-12-31 23:59:59,6.2006,6.2006,6.2006,102.43,102.43
2025-05-05,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,17.91,16.52,,,2025-05-05,2999-12-31 23:59:59,5.8163,5.8163,5.8163,96.08,96.08
2025-05-20,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,18.35801,16.52,,,2025-05-20,2999-12-31 23:59:59,0.37388,0.37388,0.37388,6.17,6.17
2025-05-22,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,17.8683,16.52,,,2025-05-22,2999-12-31 23:59:59,5.82988,5.82988,5.82988,96.3,96.3
2025-06-02,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,19.4977,16.52,,,2025-06-02,2999-12-31 23:59:59,5.34268,5.34268,5.34268,88.26,88.26
2025-06-13,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,19.5771,16.52,,,2025-06-13,2999-12-31 23:59:59,5.32101,5.32101,5.32101,87.9,87.9
2025-06-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,19.34154,16.52,,,2025-06-17,2999-12-31 23:59:59,0.39216,0.39216,0.39216,6.47,6.47
2025-06-30,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,19.5105,16.52,,,2025-06-30,2999-12-31 23:59:59,5.33918,5.33918,5.33918,88.2,88.2
2025-07-15,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,19.1558,16.52,,,2025-07-15,2999-12-31 23:59:59,5.43804,5.43804,5.43804,89.83,89.83
2025-07-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,19.27543,16.52,,,2025-07-17,2999-12-31 23:59:59,0.42792,0.42792,0.42792,7.06,7.06
2025-08-08,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,18.22065,16.52,,,2025-08-08,2999-12-31 23:59:59,5.71714,5.71714,5.71714,94.44,94.44
2025-08-15,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,17.5986,16.52,,,2025-08-15,2999-12-31 23:59:59,25.80717,25.80717,25.80717,426.33,426.33
2025-08-19,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,17.66,16.52,,,2025-08-19,2999-12-31 23:59:59,0.50513,0.50513,0.50513,8.34,8.34
2025-08-29,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,17.8858,16.52,,,2025-08-29,2999-12-31 23:59:59,5.82417,5.82417,5.82417,96.21,96.21
2025-09-15,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,18.05,16.52,,,2025-09-15,2999-12-31 23:59:59,5.77119,5.77119,5.77119,95.34,95.34
2025-09-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,18.23355,16.52,,,2025-09-17,2999-12-31 23:59:59,0.59464,0.59464,0.59464,9.82,9.82
2025-10-01,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,18.01,16.52,,,2025-10-01,2999-12-31 23:59:59,5.78401,5.78401,5.78401,95.55,95.55
2025-10-15,Tax Free Savings Account,shares of stock,TFSA-Purchase Shares,Purchase,17.7954,16.52,,,2025-10-15,2999-12-31 23:59:59,5.85376,5.85376,5.85376,96.7,96.7
2025-10-17,Tax Free Savings Account,shares of stock,TFSA-Dividend Shares,Dividend,17.45576,16.52,,,2025-10-17,2999-12-31 23:59:59,0.66303,0.66303,0.66303,10.95,10.95
